index,Recency,Frequency,Monetary,TotalOrders,AvgOrderValue,ActiveDays,Predicted_CLV,LogMonetary,Log_Predicted_CLV
12346.0,326,12,77556.46,12,6463.038333333334,400,55802.43188117018,11.258774359980725,10.929590649724933
12347.0,2,8,5633.32,8,704.1650000000001,402,5668.602149499462,8.63663174483544,8.642874226623155
12348.0,75,5,2019.4,5,403.88,362,2020.3028098951381,7.6110507905938976,7.611497537894537
12349.0,19,4,4428.69,4,1107.1725000000001,570,4392.363364387771,8.39608488316401,8.387850354961635
12350.0,310,1,334.4,1,334.40000000000003,0,334.451323866709,5.815323849389109,5.81547686054071
12351.0,375,1,300.93,1,300.93,0,301.08056739616126,5.710195202428391,5.7106937612530455
12352.0,36,10,2849.84,10,284.98400000000004,356,2838.396712838971,7.9553689666784315,7.951346883533153
12353.0,204,2,406.76,2,203.38,204,406.45162881516944,6.010678766031786,6.00992222334118
12354.0,232,1,1079.4,1,1079.3999999999999,0,1092.3380003963957,6.985086621918461,6.996990681356209
12355.0,214,2,947.61,2,473.80499999999995,353,947.776738400554,6.854997755239065,6.855173511080095
12356.0,23,6,6373.68,6,1062.28,401,6412.052522059176,8.76008917268833,8.766090649051264
12357.0,33,3,18287.66,3,6095.886666666666,355,17239.38131128461,9.814036474622236,9.755009661797022
12358.0,2,5,3887.07,5,777.4140000000001,730,4031.9630572483115,8.265668169533484,8.302256634714457
12359.0,58,10,8935.94,10,893.5940000000003,676,8778.561682669766,9.097948527696552,9.080181763135826
12360.0,52,8,4252.89,8,531.61125,603,4300.880702458464,8.355589137409874,8.366807578726869
12361.0,287,4,511.25,4,127.81249999999999,394,516.1957964852661,6.238812787119009,6.248421519419327
12362.0,3,11,5356.23,11,486.92999999999995,735,5352.075754795564,8.586202329437555,8.585426582132506
12363.0,110,2,552.0,2,276.0,132,552.417471266369,6.315358001522335,6.316112637628547
12364.0,8,4,1313.1,4,328.27500000000003,104,1313.2312249590193,7.180907299649593,7.181007153852048
12365.0,291,2,641.38,2,320.68999999999994,0,641.055284048294,6.465180028897591,6.464674412207273
12366.0,634,1,500.24,1,500.24,0,499.87204001833476,6.217085028297085,6.216350659317354
12367.0,4,1,168.9,1,168.89999999999998,0,168.93505706361017,5.135210028677887,5.135416346790193
12368.0,628,1,917.6999999999999,1,917.6999999999999,0,917.5243868213744,6.822959627277421,6.822768455006445
12369.0,413,3,1791.15,3,597.05,228,1793.8675522023989,7.491171295388921,7.492686511126107
12370.0,51,7,4320.31,7,617.1871428571428,617,4336.208444900873,8.371313876010715,8.37498620468201
12371.0,45,5,4067.38,5,813.476,600,4090.9045055065767,8.31100016480189,8.316765789923982
12372.0,72,3,1298.04,3,432.68000000000006,224,1299.6635608930326,7.169380809114136,7.170629844679984
12373.0,311,3,1127.65,3,375.8833333333334,362,1128.3831675872893,7.028777507229587,7.02942689327367
12374.0,25,4,2989.2200000000003,4,747.3050000000001,563,2977.327634688974,8.003102242273277,7.999117225556708
12375.0,11,2,457.5,2,228.75,87,456.5237634064954,6.127960291696519,6.125828825238765
12376.0,390,2,503.15,2,251.57500000000002,28,503.5433558959284,6.222873842839224,6.223653774447912
12377.0,315,4,3426.32,4,856.5799999999999,274,3399.8389043513125,8.139533893646055,8.131777416743706
12378.0,130,2,5416.32,2,2708.16,432,5336.600441766979,8.597356507200939,8.582531475489466
12379.0,82,4,1620.22,4,405.055,452,1622.8961165386065,7.390934231218893,7.392583551026965
12380.0,22,11,9676.300000000001,11,879.6636363636363,640,9308.434527626345,9.177538215743802,9.138783630255299
12381.0,5,5,1845.31,5,369.06200000000007,115,1848.6309813731618,7.520944331624911,7.522741428647658
12383.0,185,5,1850.56,5,370.112,167,1851.1576269893255,7.523783805985769,7.5241065233496185
12384.0,29,2,585.27,2,292.63500000000005,92,584.6359804091009,6.373780434317173,6.372698402715054
12385.0,379,1,1938.4,1,1938.3999999999999,0,1941.7336606853903,7.570133925870446,7.571851363648832
12386.0,338,2,660.8,2,330.4,29,660.814034116016,6.4949633954875114,6.494984601240329
12387.0,415,1,143.94,1,143.94,0,143.87625438538527,4.976319863681136,4.97587996002026
12388.0,16,8,3901.11,8,487.63875,566,3925.8963303603928,8.269272711457157,8.27560465503433
12389.0,403,3,1433.33,3,477.77666666666664,253,1430.812541620459,7.268453120207761,7.266696432261939
12390.0,80,1,549.84,1,549.84,0,549.5199754313625,6.311444385858925,6.310863241483275
12391.0,22,6,2773.42,6,462.2366666666667,641,2780.59997581801,7.928196995326099,7.930781572000098
12392.0,591,1,234.75000000000003,1,234.75000000000003,0,234.67856504129426,5.462771921513567,5.4624688641065715
